Fälle;Prognose;Dunkelziffer;Einwohner;Landkreis;Bundesland
37;88.0;51.0;129727;LK Ahrweiler;Rheinland-Pfalz
4;36.0;32.0;128705;LK Altenkirchen;Rheinland-Pfalz
41;35.0;-6.0;61587;LK Cochem-Zell;Rheinland-Pfalz
11;53.0;42.0;110636;SK Trier;Rheinland-Pfalz
69;36.0;-33.0;129244;LK Alzey-Worms;Rheinland-Pfalz
17;18.0;1.0;75101;LK Donnersbergkreis;Rheinland-Pfalz
19;18.0;-1.0;70526;LK Kusel;Rheinland-Pfalz
30;18.0;-12.0;110356;LK Südliche Weinstraße;Rheinland-Pfalz
9;18.0;9.0;154201;LK Rhein-Pfalz-Kreis;Rheinland-Pfalz
47;71.0;24.0;132472;LK Heidenheim;Baden-Württemberg
6;18.0;12.0;105722;LK Berchtesgadener Land;Bayern
24;18.0;-6.0;132341;LK Eichstätt;Bayern
28;18.0;-10.0;72404;SK Landshut;Bayern
25;53.0;28.0;77656;LK Regen;Bayern
24;36.0;12.0;152610;SK Regensburg;Bayern
39;18.0;-21.0;170365;LK Nürnberger Land;Bayern
48;36.0;-12.0;174208;LK Aschaffenburg;Bayern
12;35.0;23.0;79690;LK Rhön-Grabfeld;Bayern
28;18.0;-10.0;128756;LK Miltenberg;Bayern
29;176.0;147.0;87397;LK Sankt Wendel;Saarland
16;18.0;2.0;169067;LK Dahme-Spreewald;Brandenburg
115;18.0;-97.0;317531;LK Zwickau;Sachsen
9;36.0;27.0;197673;LK Nordsachsen;Sachsen
3;18.0;15.0;83765;LK Altmarkkreis Salzwedel;Sachsen-Anhalt
12;36.0;24.0;214446;LK Harz;Sachsen-Anhalt
11;36.0;25.0;125840;LK Wittenberg;Sachsen-Anhalt
13;18.0;5.0;122347;LK Schmalkalden-Meiningen;Thüringen
16;88.0;72.0;106356;LK Saalfeld-Rudolstadt;Thüringen
12;27.0;15.0;131347;LK Steinburg;Schleswig-Holstein
15;41.0;26.0;124151;SK Wolfsburg;Niedersachsen
18;68.0;50.0;137014;LK Goslar;Niedersachsen
16;27.0;11.0;91307;LK Helmstedt;Niedersachsen
16;27.0;11.0;133965;LK Peine;Niedersachsen
4;14.0;10.0;139755;LK Heidekreis;Niedersachsen
23;27.0;4.0;159207;SK Darmstadt;Hessen
56;14.0;-42.0;172083;LK Limburg-Weilburg;Hessen
7;27.0;20.0;50378;SK Speyer;Rheinland-Pfalz
13;41.0;28.0;140152;LK Tuttlingen;Baden-Württemberg
6;14.0;8.0;52469;SK Passau;Bayern
13;14.0;1.0;78355;LK Freyung-Grafenau;Bayern
2;14.0;12.0;41970;SK Amberg;Bayern
26;14.0;-12.0;94352;LK Neustadt a.d.Waldnaab;Bayern
28;55.0;27.0;147086;LK Bamberg;Bayern
13;27.0;14.0;67135;LK Kronach;Bayern
20;14.0;-6.0;66838;LK Lichtenfels;Bayern
21;149.0;128.0;70527;SK Aschaffenburg;Bayern
16;14.0;-2.0;43837;SK Memmingen;Bayern
12;14.0;2.0;125747;LK Günzburg;Bayern
21;14.0;-7.0;212618;LK Ludwigslust-Parchim;Mecklenburg-Vorpommern
33;27.0;-6.0;337696;LK Erzgebirgskreis;Sachsen
24;55.0;31.0;306185;LK Mittelsachsen;Sachsen
4;14.0;10.0;89928;LK Jerichower Land;Sachsen-Anhalt
4;14.0;10.0;34835;SK Suhl;Thüringen
7;14.0;7.0;100380;LK Eichsfeld;Thüringen
3;27.0;24.0;83822;LK Nordhausen;Thüringen
6;27.0;21.0;90118;LK Altenburger Land;Thüringen
13;42.0;29.0;89504;SK Flensburg;Schleswig-Holstein
2;21.0;19.0;140667;LK Höxter;Nordrhein-Westfalen
17;21.0;4.0;96798;LK Odenwaldkreis;Hessen
5;11.0;6.0;46677;SK Landau i.d.Pfalz;Rheinland-Pfalz
27;11.0;-16.0;96680;LK Neuburg-Schrobenhausen;Bayern
2;11.0;9.0;77592;SK Bamberg;Bayern
27;32.0;5.0;86906;LK Coburg;Bayern
21;84.0;63.0;111407;SK Jena;Thüringen
4;11.0;7.0;135452;LK Gotha;Thüringen
36;11.0;-25.0;98159;LK Greiz;Thüringen
21;57.0;36.0;148945;LK Trier-Saarburg;Rheinland-Pfalz
46;16.0;-30.0;73178;LK Wunsiedel i.Fichtelgebirge;Bayern
36;16.0;-20.0;183949;LK Ansbach;Bayern
3;16.0;13.0;72124;SK Brandenburg a.d.Havel;Brandenburg
16;16.0;0.0;227796;LK Vogtlandkreis;Sachsen
7;6.0;-1.0;79487;SK Neumünster;Schleswig-Holstein
3;6.0;3.0;101017;LK Werra-Meißner-Kreis;Hessen
5;6.0;1.0;80720;LK Birkenfeld;Rheinland-Pfalz
11;6.0;-5.0;95113;LK Südwestpfalz;Rheinland-Pfalz
17;19.0;2.0;156729;LK Nordwestmecklenburg;Mecklenburg-Vorpommern
5;13.0;8.0;81237;SK Dessau-Roßlau;Sachsen-Anhalt
9;6.0;-3.0;111982;LK Stendal;Sachsen-Anhalt
5;6.0;1.0;102912;LK Unstrut-Hainich-Kreis;Thüringen
9;6.0;-3.0;81947;LK Weimarer Land;Thüringen
3;5.0;2.0;119960;LK Wolfenbüttel;Niedersachsen
4;5.0;1.0;83330;SK Worms;Rheinland-Pfalz
20;5.0;-15.0;111210;LK Altötting;Bayern
33;24.0;-9.0;115250;LK Mühldorf a.Inn;Bayern
13;53.0;40.0;71845;LK Kulmbach;Bayern
5;5.0;0.0;57873;SK Frankfurt (Oder);Brandenburg
22;48.0;26.0;178089;SK Potsdam;Brandenburg
4;5.0;1.0;119552;LK Uckermark;Brandenburg
4;10.0;6.0;123025;LK Wartburgkreis;Thüringen
5;15.0;10.0;88624;LK Wesermarsch;Niedersachsen
6;4.0;-2.0;74657;SK Bayreuth;Bayern
3;11.0;8.0;41847;SK Ansbach;Bayern
8;4.0;-4.0;96021;LK Dillingen a.d.Donau;Bayern
7;19.0;12.0;99078;LK Ostprignitz-Ruppin;Brandenburg
5;3.0;-2.0;48424;LK Lüchow-Dannenberg;Niedersachsen
1;3.0;2.0;40403;SK Pirmasens;Rheinland-Pfalz
3;3.0;0.0;69655;LK Sömmerda;Thüringen
1;2.0;1.0;34209;SK Zweibrücken;Rheinland-Pfalz
1;2.0;1.0;63553;LK Hildburghausen;Thüringen
